task_text,answer
не интересно не хочу слушать а вот если пятьдесят два то может расскажешь если двести тридцать то уже точно интересно,не интересно не хочу слушать а вот если 52 то может расскажешь если 230 то уже точно интересно
у вас есть возможность не присоединиться к этому мероприятию где принимают участие двести человек,у вас есть возможность не присоединиться к этому мероприятию где принимают участие 200 человек
получается у вас на данный момент по карточке тридцать семь активных позиций планируете еще разместить или это будет предел на данный момент,получается у вас на данный момент по карточке 37 активных позиций планируете еще разместить или это будет предел на данный момент
я поняла поняла слушайте ну я так поняла смотрите у нас кстати сейчас запущена распродажа двести тридцать пять товаров доступно к распродаже так что подключайтесь зайдите в не включайте,я поняла поняла слушайте ну я так поняла смотрите у нас кстати сейчас запущена распродажа 235 товаров доступно к распродаже так что подключайтесь зайдите в не включайте
в распродажу заглянули или частично вошли а полностью вошли в распродажу вижу что двадцать человек да уже зашли,в распродажу заглянули или частично вошли а полностью вошли в распродажу вижу что 20 человек да уже зашли
основной объём лидов у вас составляет около ста двадцати в месяц,основной объём лидов у вас составляет около 120 в месяц
понятно что вы сами можете менять скидку на доставку просто зайдите в любое объявление и нажмите на бесплатную доставку например тут представлен внедорожник который продается за пять тысяч восемьсот сорок три рубля разница здесь составляет от ста до девятьсот семьдесят рублей вы можете предложить скидку на транспортировку и пообщаться по поводу этой суммы чтобы покрыть расходы на доставку это всё и никаких трудностей не возникнет,понятно что вы сами можете менять скидку на доставку просто зайдите в любое объявление и нажмите на бесплатную доставку например тут представлен внедорожник который продается за 5843 рубля разница здесь составляет от 100 до 970 рублей вы можете предложить скидку на транспортировку и пообщаться по поводу этой суммы чтобы покрыть расходы на доставку это всё и никаких трудностей не возникнет
ну это классно я вас включил в список любимых я могу в конце декабря снова с вами связаться и с высокой вероятностью порядка восьмидесяти пяти к вам еще раз обратюсь,ну это классно я вас включил в список любимых я могу в конце декабря снова с вами связаться и с высокой вероятностью порядка 85 к вам еще раз обратюсь
бесплатная доставка это своего рода условное обозначение потому что на деле большинству покупателей больше интересна скидка на доставку так как она подчеркивается красным значком и выделяет объявление среди других при этом не требуя больших затрат сумма скидки зависит от цены товара и может составлять от пяти до почти ста процентов но я не советую сразу же включать максимальную скидку на весь ассортимент это нецелесообразно с точки зрения экономики лучше выбрать определенную часть товаров например двадцать процентов и установить на них минимальную скидку которая при автоматической загрузке начинается от тридцати рублей но сейчас у нас есть акция и скидка может быть от двадцати рублей и так далее,бесплатная доставка это своего рода условное обозначение потому что на деле большинству покупателей больше интересна скидка на доставку так как она подчеркивается красным значком и выделяет объявление среди других при этом не требуя больших затрат сумма скидки зависит от цены товара и может составлять от 5 до почти 100 процентов но я не советую сразу же включать максимальную скидку на весь ассортимент это нецелесообразно с точки зрения экономики лучше выбрать определенную часть товаров например 20 процентов и установить на них минимальную скидку которая при автоматической загрузке начинается от 30 рублей но сейчас у нас есть акция и скидка может быть от 20 рублей и так далее
там именно рост стоимости показа и ну это действует как продвижение то есть стартовая у вас например показ стоит один рубль вы увеличиваете до пять рублей например и объявление поднимается выше в поиске то ест можно настраивать там регионы,там именно рост стоимости показа и ну это действует как продвижение то есть стартовая у вас например показ стоит 1 рубль вы увеличиваете до 5 рублей например и объявление поднимается выше в поиске то ест можно настраивать там регионы
ну у вас в профиле три штуки одинаковых адресов прописано то есть в целом всё в порядке других я не наблюдаю,ну у вас в профиле 3 штуки одинаковых адресов прописано то есть в целом всё в порядке других я не наблюдаю
да ладно вам надо найти среднее то есть у вас на данный момент двести отзывов это оценка три и восемь в рейтинг идут оценки в общем все что у вас по аккаунту то есть если мы сейчас посмотрим,да ладно вам надо найти среднее то есть у вас на данный момент 200 отзывов это оценка 3 и 8 в рейтинг идут оценки в общем все что у вас по аккаунту то есть если мы сейчас посмотрим
смотрите тогда я вам предлагаю у нас в данный момент активно задействован инструмент для продвижения в районе если вы как раз развиваете это направление самовывоз он помогает вам так сказать опережать в прямом смысле конкурентов другими словами вы выделяетесь и кажетесь более привлекательно и чаще вас площадка демонстрирует а вот и соответственно предоставляем покупателям возможность расплатиться пластиковыми карточками рассрочками и прочими способами а мы с вами ведем расчеты по полной цене вот ну а там девять процентов что ли удерживается,смотрите тогда я вам предлагаю у нас в данный момент активно задействован инструмент для продвижения в районе если вы как раз развиваете это направление самовывоз он помогает вам так сказать опережать в прямом смысле конкурентов другими словами вы выделяетесь и кажетесь более привлекательно и чаще вас площадка демонстрирует а вот и соответственно предоставляем покупателям возможность расплатиться пластиковыми карточками рассрочками и прочими способами а мы с вами ведем расчеты по полной цене вот ну а там 9 процентов что ли удерживается
вам не подойдет недвижка если не будет двухсот товаров в категории все равно не интересно,вам не подойдет недвижка если не будет 200 товаров в категории все равно не интересно
жара какая там плюс двести с лишним наверное уже зима наступила понятно,жара какая там плюс 200 с лишним наверное уже зима наступила понятно
через кого вы переслали документы с двухсот страниц,через кого вы переслали документы с 200 страниц
смотрите объясню разницу между самозанятым и организацией можно реализовывать как фрилансер так и как юрлицо тут разница в том что если вы работаете как фрилансер то оплата приходит на ваш личный счёт и вы сами через приложение должны заниматься отчетностью по налогам а если вы юрлицо то мы всё оформляем за вас документы по расходам и доходам с платформы доставки всё идёт официально от компании получается если вы сотрудничаете с сервисом доставки то для фрилансеров берут комиссию в размере восемь процентов от цены товара а для организаций отчисление составляет до трёх процентов от стоимости продукции,смотрите объясню разницу между самозанятым и организацией можно реализовывать как фрилансер так и как юрлицо тут разница в том что если вы работаете как фрилансер то оплата приходит на ваш личный счёт и вы сами через приложение должны заниматься отчетностью по налогам а если вы юрлицо то мы всё оформляем за вас документы по расходам и доходам с платформы доставки всё идёт официально от компании получается если вы сотрудничаете с сервисом доставки то для фрилансеров берут комиссию в размере 8 процентов от цены товара а для организаций отчисление составляет до 3 процентов от стоимости продукции
я вам предлагаю как раз вот три тысячи заложить с двадцать шестого ноября до третье декабря и это даст возможность вашему профилю сильно улучшиться просто сейчас у вас просмотры контактов упали а чем меньше вы попадаете в поисковую выдачу тем хуже и без рекомендаций вы в поиске в целом ниже объявления,я вам предлагаю как раз вот 3000 заложить с 26 ноября до третье декабря и это даст возможность вашему профилю сильно улучшиться просто сейчас у вас просмотры контактов упали а чем меньше вы попадаете в поисковую выдачу тем хуже и без рекомендаций вы в поиске в целом ниже объявления
в каждом объявлении можно скрыть представителей соперников снизу на экране двести тридцать секунд но она делает это сама,в каждом объявлении можно скрыть представителей соперников снизу на экране 230 секунд но она делает это сама
около двухсот служб доставки можно использовать для возврата,около 200 служб доставки можно использовать для возврата
здесь ещё раз поменялось настроение поэтому в общем там куча вводных данных поэтому работаем на ближайшие двадцать девять суток если всё что имеется вот все советы они у вас будут трелины так что используйте,здесь ещё раз поменялось настроение поэтому в общем там куча вводных данных поэтому работаем на ближайшие 29 суток если всё что имеется вот все советы они у вас будут трелины так что используйте
я понял суть вопроса смотрите на деле я бы посоветовал использовать что то подобное в дальнейшем я вижу что у вас уже включена самовывоз и онлайн оплата есть еще парочка функций в логистике благодаря которым можно расширить охваты для понимания насколько они вам подходят расскажите допустим я как клиент куплю какую нибудь позицию из наличия допустим у вас в наличии выложено восемьдесят предложений я забрал товар из пункта выдачи через одни сутки я пишу что хочу вернуть покупку как вы с такими клиентами работаете или нет,я понял суть вопроса смотрите на деле я бы посоветовал использовать что то подобное в дальнейшем я вижу что у вас уже включена самовывоз и онлайн оплата есть еще парочка функций в логистике благодаря которым можно расширить охваты для понимания насколько они вам подходят расскажите допустим я как клиент куплю какую нибудь позицию из наличия допустим у вас в наличии выложено 80 предложений я забрал товар из пункта выдачи через 1 сутки я пишу что хочу вернуть покупку как вы с такими клиентами работаете или нет
площад ну как минимум выделить средства рационально да в двухстах лучше взять активные объявления которые дадут,площад ну как минимум выделить средства рационально да в двухстах лучше взять активные объявления которые дадут
цели измеряю показатели вернусь к вам ориентировочно числа двадцатого следующего месяца,цели измеряю показатели вернусь к вам ориентировочно числа 20 следующего месяца
вас сейчас не слышно а я думаю что где то двести человек,вас сейчас не слышно а я думаю что где то 200 человек
я где то в районе проверил ещё несколько объявлений у вас там двести одиннадцать рублей цена вот например колготки это двести одиннадцать рублей то есть у вас часть товаров идёт пятьдесят рублей часть сто двадцать два рубля часть двести одиннадцать то есть какую нибудь сумму возьмите возьмите те объявления которые вы планируете разместить которые вы хотите перенести на платный тариф размещения всё это перемножьте посчитайте сколько получится доход в деньгах а эту сумму умножьте точнее вычтите девять процентов ну при подсчёте там система показывает калькулятор показывает,я где то в районе проверил ещё несколько объявлений у вас там 211 рублей цена вот например колготки это 211 рублей то есть у вас часть товаров идёт 50 рублей часть 122 рубля часть 211 то есть какую нибудь сумму возьмите возьмите те объявления которые вы планируете разместить которые вы хотите перенести на платный тариф размещения всё это перемножьте посчитайте сколько получится доход в деньгах а эту сумму умножьте точнее вычтите 9 процентов ну при подсчёте там система показывает калькулятор показывает
вот новых объявлений добавим был там бюджет у нас с тобой там восемьдесят пять на просмотры ну вроде будет там восемьдесят восемь я думаю это в разрезе двадцати восьми дней то есть плюс минус такое же закладываем сейчас,вот новых объявлений добавим был там бюджет у нас с тобой там 85 на просмотры ну вроде будет там 88 я думаю это в разрезе 28 дней то есть плюс минус такое же закладываем сейчас
хочу предложить вам рассмотреть следующий вариант если в вашем прайсе предусмотрено приличное отступление например по модели кабана тогда у вас доступно двести пять предложений участие в акции без оплаты сейчас у нас получится охватить целевую группу которая ищет именно то,хочу предложить вам рассмотреть следующий вариант если в вашем прайсе предусмотрено приличное отступление например по модели кабана тогда у вас доступно 205 предложений участие в акции без оплаты сейчас у нас получится охватить целевую группу которая ищет именно то
у вас будет еще блокировка денег на двадцать четыре часа то есть покупатель получил товар и финансы придут вам через одни сутки это если сутки если вы заказываете три дня то никакого ограничения нет совсем товар получил деньги сразу получены,у вас будет еще блокировка денег на 24 часа то есть покупатель получил товар и финансы придут вам через 1 сутки это если сутки если вы заказываете 3 дня то никакого ограничения нет совсем товар получил деньги сразу получены
спускаемся вниз к объявлению где сумма зачеркнута и скидка пять процентов временные ограждения строительные цена две тысячи восемьсот пятьдесят рублей,спускаемся вниз к объявлению где сумма зачеркнута и скидка 5 процентов временные ограждения строительные цена 2850 рублей
да выкладывайте но опять таки без продвижения не в сезон можно там июнь июли переждать но опять же в разгар сезона конечно стоит продвигать потому что предложений сейчас очень много если по факту после двадцать пятого уже клиенты начинают думать об оливье и селедке под шубой у нас есть шанс этот период использовать с пользой,да выкладывайте но опять таки без продвижения не в сезон можно там июнь июли переждать но опять же в разгар сезона конечно стоит продвигать потому что предложений сейчас очень много если по факту после 25 уже клиенты начинают думать об оливье и селедке под шубой у нас есть шанс этот период использовать с пользой
давай подключимся к расширенной подписке до завершения текущей недели в категории покупки тогда три тысячи вернутся как бонусы на ваш счёт и они будут автоматически списываться при просмотре да всё настроено верно повторюсь двеси рублей вернутся в виде аванса и будут оплачивать просмотр контента,давай подключимся к расширенной подписке до завершения текущей недели в категории покупки тогда 3000 вернутся как бонусы на ваш счёт и они будут автоматически списываться при просмотре да всё настроено верно повторюсь 200 рублей вернутся в виде аванса и будут оплачивать просмотр контента
следующее у нас там двести одиннадцать рублей я бы советовал испытать хотя бы несколько подобных товаров да испытать запуск по двести одиннадцать рублей учитывая то что у вас в целом тут эффективность неплохая одиннадцать процентов да из просмотров в обращения по обтекателю,следующее у нас там 211 рублей я бы советовал испытать хотя бы несколько подобных товаров да испытать запуск по 211 рублей учитывая то что у вас в целом тут эффективность неплохая 11 процентов да из просмотров в обращения по обтекателю
нет четыреста товара рублей не в просмотрах одиннадцать,нет 400 товара рублей не в просмотрах 11
благодарю вас и вижу что у вас прямо сейчас в наличии семь активных объявлений размещены вижу что снова стройматериалы да опять разной тематики также вижу что вы ещё поставляете услуги по установке заборов опор да и прочего всего что нужно а могу у вас узнать будет ли у вас в будущем расти число объявлений по работам по товарам,благодарю вас и вижу что у вас прямо сейчас в наличии 7 активных объявлений размещены вижу что снова стройматериалы да опять разной тематики также вижу что вы ещё поставляете услуги по установке заборов опор да и прочего всего что нужно а могу у вас узнать будет ли у вас в будущем расти число объявлений по работам по товарам
будет действовать до конца ноября числа в тридцатого закончим акцию,будет действовать до конца ноября числа в 30 закончим акцию
слушаю нет бонусной системы у нас в данный момент нет но здесь посмотрите в любом случае у вас в прошлом месяце было сто сорок я там предвижу что при добавлении новых предложений вы немного увеличитесь на десять тысяч поэтому вот учтите двести пятьдесят,слушаю нет бонусной системы у нас в данный момент нет но здесь посмотрите в любом случае у вас в прошлом месяце было 140 я там предвижу что при добавлении новых предложений вы немного увеличитесь на 10000 поэтому вот учтите 250
лучше ежедневно на тринадцать суток она эффективнее справится с деревянными изделиями по крайней мере точно по новгороду показатель там был высок у соперников тогда двести семьдесят восемь рублей это с завтрашнего дня на тринадцать дней,лучше ежедневно на 13 суток она эффективнее справится с деревянными изделиями по крайней мере точно по новгороду показатель там был высок у соперников тогда 278 рублей это с завтрашнего дня на 13 дней
нажали ну возможно да у вас по не будет просмотры отображаться вот видите да сейчас у вас на месте просмотра двадцать восемь рублей стоит,нажали ну возможно да у вас по не будет просмотры отображаться вот видите да сейчас у вас на месте просмотра 28 рублей стоит
сейчас действует акция по бесплатной доставке она продлится до апреля двадцать пятого года а на данный момент предоставляется скидка на доставку покупателю из комиссии да точнее с вас берет маркетплейс условно товар вы реализовали за десять тыщ пятьсот рублей скидка на доставку будет рублей двести пятьдесят и ее дает покупателю маркетплейс и уже из комиссии то есть в общем вы не платите маркетплейсу а он просто забирает меньше с вашей сделки,сейчас действует акция по бесплатной доставке она продлится до апреля 25 года а на данный момент предоставляется скидка на доставку покупателю из комиссии да точнее с вас берет маркетплейс условно товар вы реализовали за 10500 рублей скидка на доставку будет рублей 250 и ее дает покупателю маркетплейс и уже из комиссии то есть в общем вы не платите маркетплейсу а он просто забирает меньше с вашей сделки
сейчас посмотрим на вашу ситуацию и увидим что за последний период в тридцать дней у вас было около четыреста пятьдесят клиентов но при этом вы оформили всего шестьдесят заказов то есть шестьдесят товаров ушло через доставку задача в том чтобы увеличить количество продаж до двухсот штук именно через этот ресурс чтобы они отображались в системе потому что если мы говорим о переходе на другой формат то нам нужно чтобы цифры были на нужном уровне хотя бы на этом уровне я могу сейчас подать запрос но лучше будет если показатели будут выше,сейчас посмотрим на вашу ситуацию и увидим что за последний период в 30 дней у вас было около 450 клиентов но при этом вы оформили всего 60 заказов то есть 60 товаров ушло через доставку задача в том чтобы увеличить количество продаж до 200 штук именно через этот ресурс чтобы они отображались в системе потому что если мы говорим о переходе на другой формат то нам нужно чтобы цифры были на нужном уровне хотя бы на этом уровне я могу сейчас подать запрос но лучше будет если показатели будут выше
давайте взглянем на этот устаревший инструмент у вас зафиксировано восемь обращений в поддержку восемь отправленных личных сообщений извините,давайте взглянем на этот устаревший инструмент у вас зафиксировано 8 обращений в поддержку 8 отправленных личных сообщений извините
пожалуйста подождите момент у вас там было два номера за последние двадцать суток правильно,пожалуйста подождите момент у вас там было 2 номера за последние 20 суток правильно
сарафанное радио это люди которые уже с вами общались а избранные это те к кому вы еще не обращались и не было ни звонков ни попыток связаться у вас там что то вроде челове трех да три,сарафанное радио это люди которые уже с вами общались а избранные это те к кому вы еще не обращались и не было ни звонков ни попыток связаться у вас там что то вроде челове 3 3
спортпит да коктейли с протеином вот как раз вроде бы двеси грамм в день хватает ну или так себе,спортпит да коктейли с протеином вот как раз вроде бы 200 грамм в день хватает ну или так себе
ага у вас объявление одно и шесть объявок да правильно открылось меню,ага у вас объявление 1 и 6 объявок да правильно открылось меню
как только я увидел триста пятьдесят восемь примерно через минуту четыреста двенадцать,как только я увидел 358 примерно через минуту 412
он приходит при определённом объёме активности то есть здесь модераторы сами по себе определяют если честно не могу сказать как они в точности подбирают учётные записи то есть они отбирают профили которые уже эффективно функционируют демонстрируют высокий объём заказов через курьерскую доставку то есть в основном заказы по такому тарифу должны быть оформлены с доставкой в семьдесят восемь процентов соответственно если у вас нет никаких проблем уровень качества остаётся на высоте то вы можете оказаться в экспериментальной группе где тариф активируют за выполнение сделки,он приходит при определённом объёме активности то есть здесь модераторы сами по себе определяют если честно не могу сказать как они в точности подбирают учётные записи то есть они отбирают профили которые уже эффективно функционируют демонстрируют высокий объём заказов через курьерскую доставку то есть в основном заказы по такому тарифу должны быть оформлены с доставкой в 78 процентов соответственно если у вас нет никаких проблем уровень качества остаётся на высоте то вы можете оказаться в экспериментальной группе где тариф активируют за выполнение сделки
у вас в общем какая численность товаров а кстати двеси штук вот вижу по системе,у вас в общем какая численность товаров а кстати 200 штук вот вижу по системе
да сейчас вот эта подписка купон байзнес триста восемьдесят пять рублей она стоит один рубль до конца апреля две тысячи двадцать пятого года я советую вам тоже активировать её то есть объявления будут участвовать в ранжировании и на основном ресурсе купон и на купон байзнес то есть тут можно работать на бесплатной основе и оптовую продажу тоже организовать либо найти не поставщиков а заказчиков которые закупят у вас большим количеством товаров,да сейчас вот эта подписка купон байзнес 385 рублей она стоит 1 рубль до конца апреля 2025 года я советую вам тоже активировать её то есть объявления будут участвовать в ранжировании и на основном ресурсе купон и на купон байзнес то есть тут можно работать на бесплатной основе и оптовую продажу тоже организовать либо найти не поставщиков а заказчиков которые закупят у вас большим количеством товаров
ага понятно у вас сейчас потрачено на показы одиннадцать тысяч сто двадцать девять рублей по вашему направлению,ага понятно у вас сейчас потрачено на показы 11129 рублей по вашему направлению
включите режим ожидания и укажите необходимое количество суток для сборки заказа там разрешено сделать перерыв до четырнадцати суток для завершения поставки,включите режим ожидания и укажите необходимое количество суток для сборки заказа там разрешено сделать перерыв до 14 суток для завершения поставки
дальше вы можете получить доступ к закрытому сектору корпоративный двести восемьдесят пять где находятся различные организации либо крупные заказчики либо корпоративные клиенты соответственно все там сосредоточены,дальше вы можете получить доступ к закрытому сектору корпоративный 285 где находятся различные организации либо крупные заказчики либо корпоративные клиенты соответственно все там сосредоточены
девяносто шесть теплых рублей это две тысячи двести восемьдесят шесть плюс на ближайшую неделю кто ещё похвалит,96 теплых рублей это 2286 плюс на ближайшую неделю кто ещё похвалит
ну нет я как бы вот так вот прям такого мнения не слышала я просто сейчас проверила например ваше объявление по полному аккаунту я просто вижу что допустим здесь двигатель да на хёндай двадцать восемь просмотров у него при этом пять контактов у вас было,ну нет я как бы вот так вот прям такого мнения не слышала я просто сейчас проверила например ваше объявление по полному аккаунту я просто вижу что допустим здесь двигатель да на хёндай 28 просмотров у него при этом 5 контактов у вас было
в принципе сейчас достаточно да на фоне акции очень сейчас активно должны именно входящие покупатели к вам пойти свежие клиенты вот поэтому брите в обработку на ноябрьскую распродажу хотя бы три объявления сейчас вставляйте а на рождественские уже по продаже посмотрите что удастся вставить свежие объявления также в акционный раздел войдут,в принципе сейчас достаточно да на фоне акции очень сейчас активно должны именно входящие покупатели к вам пойти свежие клиенты вот поэтому брите в обработку на ноябрьскую распродажу хотя бы 3 объявления сейчас вставляйте а на рождественские уже по продаже посмотрите что удастся вставить свежие объявления также в акционный раздел войдут
